City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,54.9,61,3,5.86,ZA,1684964185
1,stanley,54.868,-1.6985,54.73,77,100,0.0,GB,1684964185
2,weno,7.4515,151.8468,78.75,83,75,3.44,FM,1684964186
3,yekaterinoslavka,50.3734,129.1139,62.13,59,100,11.34,RU,1684964186
4,namibe,-15.1961,12.1522,69.53,75,1,10.36,AO,1684964186
5,forster,-32.1667,152.5167,53.78,47,58,5.39,AU,1684964186
6,aberdeen,57.1437,-2.0981,48.69,87,20,1.14,GB,1684964004
7,scottburgh,-30.2867,30.7532,61.86,72,17,7.99,ZA,1684964186
8,ust-tsilma,65.441,52.1498,59.31,80,96,3.24,RU,1684964186
9,badger,64.8,-147.5333,66.99,35,75,5.75,US,1684964186
10,bethel,41.3712,-73.414,73.27,83,84,13.47,US,1684964081
11,bardai,11.65,7.2333,81.59,56,57,8.03,NG,1684964186
12,port-aux-francais,-49.35,70.2167,43.81,99,99,12.77,TF,1684964187
13,nemuro,43.3236,145.575,47.12,69,95,8.01,JP,1684964187
14,jamestown,42.097,-79.2353,60.39,76,100,13.8,US,1684964036
15,qaqortoq,60.7167,-46.0333,33.12,100,100,9.35,GL,1684964187
16,georgetown,5.4112,100.3354,82.35,81,20,3.44,MY,1684964112
17,invercargill,-46.4,168.35,51.06,88,48,6.2,NZ,1684964044
18,blackmans bay,-43.0167,147.3167,60.93,72,70,12.28,AU,1684964187
19,adamstown,-25.066,-130.1015,74.64,74,99,6.49,PN,1684964187
20,sinabang,2.4803,96.3801,79.84,82,87,3.18,ID,1684964187
21,nowshahr,36.649,51.496,69.75,94,20,0.0,IR,1684964187
22,angra do heroismo,38.65,-27.2167,63.21,77,40,10.49,PT,1684964187
23,waitangi,-43.9535,-176.5597,50.83,80,30,1.01,NZ,1684964187
24,albany,42.6001,-73.9662,56.52,82,85,9.19,US,1684964077
25,edinburgh of the seven seas,-37.0676,-12.3116,59.09,66,90,27.02,SH,1684964188
26,iqaluit,63.7506,-68.5145,29.93,86,100,3.44,CA,1684964188
27,saint-louis,16.3333,-15.0,96.44,20,99,18.23,SN,1684964188
28,hawaiian paradise park,19.5933,-154.9731,80.11,77,20,8.05,US,1684964188
29,grytviken,-54.2811,-36.5092,33.69,64,99,12.08,GS,1684964188
30,modimolle,-24.7,28.4,58.21,52,0,2.71,ZA,1684964188
31,ilulissat,69.2167,-51.1,33.82,60,75,6.91,GL,1684964188
32,rio grande,-32.035,-52.0986,68.11,82,99,10.65,BR,1684964188
33,ushuaia,-54.8,-68.3,37.06,87,100,2.3,AR,1684964188
34,kerikeri,-35.2268,173.9474,58.91,87,10,1.99,NZ,1684964189
35,tura,25.5198,90.2201,70.56,77,13,3.96,IN,1684964189
36,santa luzia,-19.7697,-43.8514,70.88,66,40,10.36,BR,1684964189
37,margaret river,-33.95,115.0667,56.34,71,86,10.89,AU,1684964189
38,lebu,-37.6167,-73.65,53.02,80,72,10.49,CL,1684964189
39,iskateley,67.6803,53.1512,55.67,91,22,9.66,RU,1684964189
40,naze,28.3667,129.4833,70.72,75,72,8.84,JP,1684963985
41,chernyshevskiy,63.0128,112.4714,38.25,86,91,11.79,RU,1684964189
42,polyarnyy,69.1989,33.4478,53.38,64,100,16.75,RU,1684964189
43,broome,42.2506,-75.833,53.98,86,100,3.0,US,1684964189
44,hermanus,-34.4187,19.2345,60.8,69,5,11.36,ZA,1684964190
45,salalah,17.0151,54.0924,86.09,79,40,6.91,OM,1684964190
46,lompoc,34.6391,-120.4579,73.02,75,100,8.99,US,1684964190
47,mount gambier,-37.8333,140.7667,54.18,90,100,10.11,AU,1684964190
48,neiafu,-18.65,-173.9833,75.88,78,75,2.3,TO,1684964190
49,west island,-12.1568,96.8225,80.58,89,40,12.66,CC,1684964190
50,whitehorse,60.7161,-135.0538,63.01,40,75,9.22,CA,1684963905
51,donghai,22.9459,115.642,74.19,91,79,4.52,CN,1684964190
52,veshenskaya,49.6303,41.7334,60.57,83,74,1.52,RU,1684964190
53,luanco,43.6152,-5.7934,60.28,88,85,9.33,ES,1684964190
54,ribeira grande,38.5167,-28.7,62.78,83,60,13.0,PT,1684964190
55,thompson,55.7435,-97.8558,66.36,24,75,12.66,CA,1684964191
56,avarua,-21.2078,-159.775,80.65,74,100,11.5,CK,1684964191
57,atafu village,-8.5421,-172.5159,81.73,72,50,2.37,TK,1684964191
58,port lincoln,-34.7333,135.8667,58.08,77,100,15.12,AU,1684964191
59,longyearbyen,78.2186,15.6401,37.24,75,75,18.41,SJ,1684964191
60,bechar,31.6167,-2.2167,74.35,22,24,0.94,DZ,1684964191
61,petropavlovsk-kamchatsky,53.0452,158.6483,50.59,54,0,8.95,RU,1684964191
62,poshekhon'ye,58.4993,39.1353,52.25,98,8,1.16,RU,1684964192
63,volnovakha,47.601,37.4967,57.02,94,89,5.41,UA,1684964192
64,ghat,24.9647,10.1728,86.09,11,85,1.5,LY,1684964192
65,vorgashor,67.5833,63.95,46.71,80,3,8.86,RU,1684964192
66,puerto natales,-51.7236,-72.4875,38.39,66,100,19.1,CL,1684964192
67,mankono,8.0586,-6.1897,78.24,77,94,3.85,CI,1684964192
68,aykhal,66.0,111.5,30.94,92,99,12.1,RU,1684964193
69,newman,37.3138,-121.0208,76.23,26,1,10.69,US,1684964193
70,tiksi,71.6872,128.8694,21.04,92,63,2.15,RU,1684964193
71,lihue,21.9789,-159.3672,81.64,71,40,16.11,US,1684964193
72,patterson,37.4716,-121.1297,77.68,26,1,2.98,US,1684964193
73,udachny,66.4167,112.4,34.45,86,99,14.81,RU,1684964193
74,kununurra,-15.7667,128.7333,53.58,87,28,0.0,AU,1684964193
75,keflavik,64.0049,-22.5624,45.03,65,75,25.32,IS,1684964193
